PET/CBM CRTC Configuration
==========================

Model	LOC	Clk		R0	R1	R2	R3	R4	R5	R6	R7	R8	R9		SCREEN		ROM CBM P/N
-----	---	---		--	--	--	--	--	--	--	--	--	--		------		-----------
40xx	US	8		31	28	29	0f	20	03	19	1d	00	09		text		901499-01
40xx	US	8		31	28	29	0f	28	05	19	21	00	07		graphics	901499-01
80xx	US	16		31	28	29	0f	20	03	19	1d	00	09		text		901474-03
80xx	US	16		31	28	29	0f	28	05	19	21	00	07		graphics	901474-03
																
40xx	EU	8		31	28	29	0f	27	00	19	20	00	09		text		901498-01
40xx	EU	8		31	28	29	0f	31	00	19	25	00	07		graphics	901498-01
80xx	EU	16		31	28	29	0f	27	00	19	20	00	09		text		901474-04o
80xx	EU	16		31	28	29	0f	31	00	19	25	00	07		graphics	901474-04o
80xx	EU	16		31	28	29	0f	27	00	19	20	00	09		text		324243-01 (4V2E)
80xx	EU	16		31	28	29	0f	31	00	19	25	00	07		graphics	324243-01 (4V2E)
																
8296D	EU	16		32	28	28	08	26	02	19	20	00	09		text		901474-04 (324243-02?)
8296D	EU	16		32	28	28	08	30	00	19	25	00	07		graphics	901474-04 (324243-02?)
8x96D	EU	16		3a	28	2c	08	20	09	19	1d	00	09		text		324243-02B
8x96D	EU	16		3a	28	2c	08	29	03	19	22	00	07		graphics	324243-02B
8x96D	EU	16		3a	28	2c	08	20	09	19	1d	00	09		text		324243-03 (4V2E)
8x96D	EU	16		3a	28	2c	08	29	03	19	22	00	07		graphics	324243-03 (4V2E)
8x96D	EU	16		3a	28	2c	08	20	09	19	1d	00	09		text		324243-04 (4V4E)
8x96D	EU	16		3a	28	2c	08	29	03	19	22	00	07		graphics	324243-04 (4V4E)
80xx	EU	16		3f	28	32	08	20	10	19	1d	00	08		text		901474-04a (PAL?)
80xx	EU	16		3f	28	32	08	24	11	19	20	00	07		graphics	901474-04a (PAL?)
